age_calBP	d18Ocarbstdev
2401.4	0.0606
2406.4	0.0445
2411.4	0.0511
2416.4	0.0557
2421.4	0.0543
2426.4	0.0529
2431.4	0.0537
2436.4	0.0545
2441.4	0.049
2446.4	0.0459
2451.4	0.047
2456.4	0.0511
2461.4	0.0498
2466.4	0.0489
2471.4	0.0514
2476.4	0.0527
2481.4	0.0587
2486.4	0.0554
2491.4	0.0599
2496.4	0.0557
2501.4	0.0495
2506.4	0.048
2511.4	0.0444
2516.4	0.0466
2521.4	0.0454
2526.4	0.0481
2531.4	0.0483
2536.4	0.0476
2541.4	0.0478
2546.4	0.0482
2551.4	0.0484
2556.4	0.0481
2561.4	0.048
2566.4	0.0501
2571.4	0.0464
2576.4	0.0488
2581.4	0.0518
3249.1	0.0347
3254.1	0.0343
3259.1	0.0407
3264.1	0.05
3269.1	0.0496
3274.1	0.0515
3279.1	0.0517
3284.1	0.0512
3289.1	0.0506
3294.1	0.0391
3299.1	0.0388
3304.1	0.0344
3309.1	0.0393
3314.1	0.0391
3319.1	0.0348
3324.1	0.0347
3329.1	0.0363
3334.1	0.0399
3339.1	0.0347
3344.1	0.0347
3349.1	0.0341
3354.1	0.0341
3359.1	0.0357
3364.1	0.0328
3369.1	0.0345
5176	0.0256
5181	0.0276
5186	0.0307
5191	0.0336
5196	0.0361
5201	0.038
5206	0.0374
5211	0.0359
5643.5	0.0376
5648.5	0.0385
5653.5	0.0353
5658.5	0.0304
5663.5	0.0395
5668.5	0.0406
5673.5	0.0395
5678.5	0.0376
5683.5	0.0399
5688.5	0.0385
6598.8	0.0357
6603.6	0.0335
6608.4	0.0346
6613.2	0.0351
6618	0.0379
6622.8	0.0362
6627.6	0.0358
6632.4	0.0381
6637.2	0.0373
6642	0.0371
6646.8	0.032
6651.6	0.0346
6656.4	0.0395
6661.2	0.0413
6666	0.0442
6670.8	0.0473
6675.6	0.0563
6680.4	0.0549
6685.2	0.0555
6690	0.0536
6694.8	0.0515
6699.6	0.064
6704.4	0.0596
6709.2	0.0572
6714	0.053
6718.8	0.0548
6723.6	0.0567
8151.8	0.0592
8156.7	0.0589
8161.6	0.0577
8166.5	0.0545
8171.4	0.0485
8176.3	0.0416
8181.2	0.0272
8186.1	0.0182
8191	0.0183
8195.9	0.0206
8200.8	0.0212
8205.7	0.0294
8210.6	0.0385
8215.5	0.0382
8220.4	0.0392
8225.3	0.0405
8230.2	0.0482
8235.1	0.0469
8240	0.0425
8244.9	0.0492
8249.8	0.0509
8254.7	0.0568
8259.6	0.0529
8264.5	0.0558
8269.4	0.0562
8274.3	0.0504
8279.2	0.0482
8284.1	0.0424
8289	0.0407
8293.9	0.033
8298.8	0.0272